-90.8995 41.6036,-90.6867 41.6329
-90.676 41.5917,-90.676 41.592
-90.5236 41.5195,-90.5129 41.5918
-90.5244 41.5195,-90.5132 41.5931
-90.6791 41.4789,-90.6322 41.5967
-94.8055 39.5319,-94.7873 39.821
-94.8052 39.5319,-94.7871 39.821
-94.8055 39.5319,-94.7873 39.821
-94.8052 39.5319,-94.7871 39.821
-94.2058 39.7885,-94.2057 39.7889
-94.2058 39.7878,-94.2053 39.7889
-94.0481 40.1344,-93.9371 40.5752
-94.0485 40.1344,-93.9376 40.5752
-84.5226 35.5921,-84.4584 35.6587
-84.5226 35.5912,-84.4524 35.6658
-84.4572 35.6603,-84.4533 35.6658
-89.8422 33.7859,-89.839 33.8626
-89.842 33.7859,-89.8387 33.8627
-87.1349 33.2495,-87.0875 33.2853
-87.1348 33.2497,-87.0875 33.2855
-87.1349 33.2495,-87.0875 33.2853
-87.1348 33.2497,-87.0875 33.2855
-87.5655 33.1745,-87.5553 33.1974
-87.5652 33.1732,-87.5544 33.1975
-87.5655 33.1745,-87.5553 33.1974
-87.1349 33.2495,-87.0875 33.2853
-87.1348 33.2497,-87.0875 33.2855
-87.5652 33.1732,-87.5544 33.1975
-87.7523 33.0173,-87.0875 33.2853
-87.7526 33.0173,-87.0875 33.2855
-87.7523 33.0173,-87.0875 33.2853
-87.7526 33.0173,-87.0875 33.2855
-87.5655 33.1745,-87.5553 33.1974
-87.5652 33.1732,-87.5544 33.1975
-87.5652 33.1732,-87.5544 33.1975
-87.5655 33.1745,-87.5553 33.1974
-94.22 39.7462,-94.2058 39.7878
-86.9387 34.8314,-86.8792 34.9922
-86.9387 34.8314,-86.8792 34.9922
-86.9401 34.5798,-86.8792 34.9922
-86.9006 34.6279,-86.787 34.6617
-86.9006 34.6279,-86.787 34.6617
-86.9017 34.6277,-86.787 34.6615
-86.9371 34.8349,-86.8789 34.9922
-86.9387 34.8314,-86.8792 34.9922
-83.9486 30.4836,-83.9477 30.4844
-86.7924 30.6851,-86.3916 30.7297
-86.7924 30.6849,-86.3916 30.7287
-86.7924 30.6851,-86.3916 30.7297
-86.7924 30.6849,-86.3916 30.7287
-83.6948 41.5455,-83.6825 41.6835
-83.6957 41.5453,-83.6828 41.6837
-83.5741 41.6179,-83.489 41.732
-83.5158 41.6183,-83.4769 41.6848
-83.516 41.6183,-83.4771 41.6847
-83.6958 41.5453,-83.5789 41.6899
-83.6948 41.5455,-83.5777 41.6898
-82.6533 27.766,-82.6385 27.7664
-82.6773 27.6446,-82.6724 27.6637
-85.7814 38.2672,-85.7448 38.6051
-86.8167 38.205,-86.7915 38.2074
-86.8976 38.2043,-86.8525 38.2065
-86.8994 38.2042,-86.8475 38.2072
-86.8089 38.2051,-86.7915 38.2071
-85.9735 38.2714,-85.8243 38.304
-85.8243 38.2802,-85.8238 38.2808
-85.9735 38.2717,-85.8243 38.3042
-85.8243 38.2802,-85.8238 38.2808
-85.8904 38.2808,-85.8243 38.3042
-85.8903 38.2808,-85.8243 38.304
-85.8498 38.3047,-85.769 38.3452
-85.7691 38.3452,-85.769 38.3452
-85.8264 38.2827,-85.8263 38.2828
-85.5969 39.8287,-85.2209 39.8541
-85.5969 39.8287,-85.2209 39.8541
-85.5969 39.8285,-85.2209 39.8538
-85.7389 37.8132,-85.687 38.0863
-85.739 37.8134,-85.6873 38.0863
-85.7389 37.8132,-85.687 38.0863
-85.739 37.8134,-85.6873 38.0863
-85.1763 38.5845,-84.9645 38.6821
-85.1767 38.5844,-84.9647 38.6823
-84.3504 37.884,-84.3395 37.892
-84.3505 37.8839,-84.3396 37.8918
-84.5783 38.0369,-84.2879 38.1448
-84.5786 38.0367,-84.2884 38.1447
-84.5206 38.0606,-84.4365 38.1148
-84.5114 38.061,-84.4375 38.1121
-84.5348 38.1121,-84.5114 38.1606
-84.4365 37.884,-84.3395 38.0606
-84.5345 38.1148,-84.5206 38.1607
-84.4375 37.8839,-84.3396 38.061
-84.3504 37.884,-84.3395 37.892
-84.3505 37.8839,-84.3396 37.8918
-85.0161 38.1447,-84.783 38.1741
-85.0165 38.1441,-84.7834 38.1738
-81.3888 28.6402,-81.388 28.6799
-86.0698 37.0817,-85.9709 37.1562
-86.1152 37.057,-86.1084 37.0601
-86.0699 37.0815,-85.9707 37.1562
-86.1151 37.0572,-86.1088 37.0601
-87.0174 38.1934,-86.8976 38.2043
-87.0174 38.1936,-86.8994 38.2042
-86.8525 38.202,-86.8089 38.2051
-86.8475 38.2027,-86.8167 38.205
-87.1431 30.5195,-86.7924 30.6849
-87.1433 30.5197,-86.7924 30.6851
-83.7045 31.5962,-83.5602 31.8047
-83.7042 31.5962,-83.56 31.8047
-83.7045 31.5962,-83.5602 31.8047
-83.7042 31.5962,-83.56 31.8047
-84.3975 30.4782,-84.0412 30.502
-84.3975 30.4782,-84.0412 30.502
-85.8302 38.6051,-85.7816 38.7632
-85.83 38.6051,-85.7813 38.7637
-84.3435 37.2405,-84.2392 37.5381
-84.3437 37.2403,-84.2393 37.5382
-92.6225 30.231,-92.1762 30.2525
-92.6225 30.2307,-92.1762 30.2523
-92.1772 30.7647,-92.1724 30.7684
-92.1779 30.7643,-92.1724 30.7685
-92.2292 30.8023,-92.2113 30.8483
-92.2287 30.8028,-92.2113 30.8483
-92.2872 30.9573,-92.2807 30.9651
-84.9645 38.6821,-84.7161 38.8105
-84.9647 38.6823,-84.7163 38.8106
-85.2168 39.2804,-85.0698 39.3085
-85.2174 39.2802,-85.0699 39.3085
-69.4763 44.6832,-69.4676 44.6935
-69.4764 44.6845,-69.4689 44.6933
-87.4122 30.5022,-87.1671 30.5738
-87.4124 30.502,-87.1669 30.5736
-87.4122 30.5022,-87.1433 30.5738
-87.4124 30.502,-87.1431 30.5736
-87.2303 30.418,-87.2123 30.4963
-87.2306 30.4206,-87.214 30.4997
-87.2303 30.418,-87.2123 30.4963
-87.2306 30.4206,-87.214 30.4997
-87.2297 30.4618,-87.2254 30.4777
-84.3492 33.6929,-84.0743 33.7456
-84.3492 33.6927,-84.0744 33.7455
-84.3485 33.8251,-84.2378 33.9049
-84.3485 33.8254,-84.2381 33.9051
-84.3498 33.664,-84.2305 33.9202
-84.3498 33.6638,-84.2303 33.9204
-84.3492 33.6929,-84.0743 33.7456
-84.3492 33.6927,-84.0744 33.7455
-84.3485 33.8251,-84.2378 33.9049
-84.3485 33.8254,-84.2381 33.9051
-84.3498 33.6638,-84.2303 33.9204
-84.3269 33.6472,-84.3183 33.6693
-84.3261 33.6472,-84.3178 33.6719
-84.3269 33.6472,-84.3183 33.6693
-84.3261 33.6472,-84.3178 33.6719
-84.2586 33.8921,-84.2378 33.9049
-84.2588 33.8922,-84.2381 33.9051
-83.9515 33.6072,-83.8757 33.6289
-83.9516 33.6071,-83.8757 33.6288
-83.9516 33.6071,-83.6992 33.6288
-83.9515 33.6072,-83.6993 33.6289
-83.9515 33.6072,-83.8757 33.6289
-83.9516 33.6071,-83.8757 33.6288
-83.9515 33.6072,-83.8757 33.6289
-83.9516 33.6071,-83.8757 33.6288
-87.6154 31.0407,-87.2255 31.2606
-87.6154 31.041,-87.2259 31.2606
-86.9118 33.9328,-86.8598 34.3098
-86.9114 33.9327,-86.8596 34.3098
-86.8664 34.0547,-86.8661 34.1134
-86.8666 34.0545,-86.8663 34.1133
-79.6344 34.3003,-79.6311 34.3022
-79.634 34.2992,-79.6322 34.3003
-79.5392 36.0599,-79.2609 36.0751
-79.5392 36.0598,-79.2609 36.0749
-79.5392 36.0599,-79.2609 36.0751
-79.5392 36.0598,-79.2609 36.0749
-122.132 37.6906,-122.128 37.6908
-122.35 37.8192,-122.328 37.8222
-85.2964 39.3085,-85.2168 39.3169
-85.2964 39.3085,-85.2174 39.3167
-88.007 30.5738,-87.4122 30.687
-87.9544 30.9194,-87.6154 31.041
-87.9545 30.9188,-87.6154 31.0407
-85.9443 34.1997,-85.5537 34.7138
-89.5986 38.8019,-89.5455 38.8315
-89.5986 38.8022,-89.5455 38.8318
-89.5986 38.8022,-89.2567 38.9165
-89.5986 38.8019,-89.2567 38.9163
-90.4321 41.4405,-90.3301 41.4632
-112.309 44.0578,-112.174 44.5553
-112.309 44.0578,-112.174 44.5556
-115.087 42.9381,-114.993 42.9427
-115.087 42.9378,-114.993 42.9424
-115.087 42.9381,-114.993 42.9427
-115.087 42.9378,-114.993 42.9424
-115.087 42.7422,-114.617 42.9427
-115.087 42.7419,-114.617 42.9424
-88.9371 38.2756,-88.9346 38.2791
-85.9529 39.807,-85.5969 39.8287
-85.9529 39.8067,-85.5969 39.8285
-91.6691 41.7002,-91.6416 41.8616
-91.6688 41.6995,-91.6409 41.8616
-91.8342 41.666,-91.3663 41.6952
-91.8341 41.6662,-91.3663 41.6954
-91.6691 41.7002,-91.6416 41.8616
-91.6688 41.6995,-91.6409 41.8616
-91.6691 41.7002,-91.6416 41.8616
-91.6688 41.6995,-91.6409 41.8616
-87.5036 38.1658,-87.4672 38.1696
-87.5044 38.1659,-87.4672 38.1698
-87.578 38.1663,-87.5238 38.1672
-95.5084 38.476,-95.0564 38.7112
-95.5084 38.4763,-95.0564 38.7115
-95.5084 38.476,-95.0564 38.7112
-95.5084 38.4763,-95.0564 38.7115
-87.6732 36.6416,-87.3398 36.8416
-87.6732 36.6416,-87.3393 36.8419
-95.4554 39.9715,-94.9944 40.2638
-95.4559 39.9712,-94.9943 40.2638
-99.4166 40.6694,-98.7215 40.7229
-99.4166 40.6691,-98.7215 40.7227
-98.7215 40.7214,-98.2826 40.8256
-98.7215 40.7217,-98.2826 40.8259
-98.2826 40.8208,-97.8258 40.8223
-98.2826 40.8205,-97.8258 40.8221
-101.27 40.9423,-100.224 41.1407
-101.27 40.9421,-100.224 41.1404
-96.7565 40.8176,-96.6436 40.897
-96.7564 40.8174,-96.6434 40.8968
-96.9107 40.8154,-96.4637 40.9213
-96.9107 40.816,-96.4637 40.9217
-96.7162 40.8181,-96.7077 40.863
-96.7163 40.8181,-96.7085 40.8628
-102.056 41.0536,-101.27 41.1207
-102.056 41.0533,-101.27 41.1204
-97.3684 40.8204,-96.9107 40.8224
-97.3684 40.8206,-96.9107 40.8226
-77.9048 43.0168,-77.485 43.0485
-77.9048 43.0165,-77.485 43.0482
-77.6978 42.9402,-77.6006 43.1543
-77.6973 42.9402,-77.5994 43.1543
-77.6074 43.1074,-77.547 43.1432
-77.6064 43.1078,-77.5475 43.1433
-76.9637 42.9557,-76.7209 43.0003
-76.9637 42.9554,-76.7209 43.0001
-76.9637 42.9557,-76.7209 43.0003
-76.9637 42.9554,-76.7209 43.0001
-77.7342 42.1185,-76.9659 42.3899
-77.7343 42.1184,-76.9659 42.3894
-77.6787 42.3849,-77.375 42.5421
-77.6811 42.3882,-77.383 42.5419
-77.0784 42.1365,-77.0305 42.1634
-77.6787 42.3895,-77.3851 42.5421
-77.6811 42.4003,-77.4059 42.5419
-77.4057 42.3882,-77.383 42.4002
-77.0784 42.1365,-77.0305 42.1634
-77.7343 42.1529,-77.0784 42.3894
-77.0305 42.1184,-76.9659 42.1365
-77.7342 42.1185,-76.9659 42.3899
-100.834 46.822,-100.077 46.8649
-100.834 46.822,-100.077 46.8646
-100.773 46.8315,-100.289 46.8389
-100.773 46.8312,-100.289 46.8385
-100.834 46.822,-100.077 46.8649
-100.834 46.822,-100.077 46.8646
-86.2461 35.6258,-86.2436 35.6319
-88.4633 40.1185,-88.2817 40.1206
-88.4633 40.1165,-88.2817 40.1204
-88.4635 40.1197,-87.9401 40.2127
-88.4635 40.1199,-87.9401 40.213
-89.3409 30.3835,-88.8834 30.4605
-89.3409 30.3839,-88.8834 30.4608
